iter	Passed	Remaining
0	0	974
1	1	867
2	2	796
3	3	760
4	3	733
5	4	711
6	4	697
7	5	688
8	6	680
9	6	686
10	7	693
11	8	697
12	9	692
13	9	686
14	10	683
15	11	679
16	11	676
17	12	673
18	12	669
19	13	665
20	14	661
21	14	659
22	15	658
23	16	655
24	16	653
25	17	650
26	17	648
27	18	646
28	19	644
29	19	641
30	20	639
31	21	635
32	21	637
33	22	640
34	23	641
35	24	642
36	24	641
37	25	639
38	25	637
39	26	635
40	27	633
41	27	632
42	28	630
43	28	628
44	29	627
45	30	625
46	30	623
47	31	624
48	32	624
49	32	622
50	33	621
51	34	620
52	34	618
53	35	618
54	35	618
55	36	616
56	37	615
57	37	615
58	38	615
59	39	614
60	39	612
61	40	613
62	41	613
63	41	614
64	42	613
65	43	612
66	43	611
67	44	609
68	45	608
69	45	607
70	46	605
71	46	604
72	47	604
73	48	603
74	48	601
75	49	600
76	49	598
77	50	597
78	51	596
79	51	595
80	52	595
81	53	596
82	53	595
83	54	595
84	55	594
85	55	594
86	56	593
87	57	594
88	57	592
89	58	592
90	59	592
91	59	591
92	60	591
93	61	591
94	62	591
95	62	589
96	63	588
97	63	584
98	64	583
99	64	583
100	65	582
101	66	581
102	66	580
103	67	579
104	68	580
105	68	581
106	69	582
107	70	583
108	71	582
109	71	581
110	72	579
111	72	577
112	73	577
113	74	575
114	74	573
115	75	571
116	75	569
117	76	568
118	76	566
119	77	565
120	77	563
121	78	562
122	78	560
123	79	559
124	79	557
125	80	555
126	80	554
127	81	552
128	81	551
129	82	552
130	83	551
131	83	550
132	84	549
133	84	548
134	85	546
135	85	545
136	86	544
137	86	542
138	87	541
139	87	539
140	88	538
141	88	537
142	89	535
143	89	534
144	90	533
145	90	531
146	91	530
147	91	529
148	92	526
149	92	525
150	93	524
151	93	523
152	94	521
153	94	520
154	95	519
155	95	518
156	96	516
157	96	516
158	97	515
159	98	515
160	98	515
161	99	514
162	100	513
163	100	512
164	101	511
165	101	510
166	102	510
167	102	509
168	103	508
169	103	506
170	104	506
171	104	505
172	105	504
173	106	503
174	106	502
175	107	501
176	107	500
177	108	499
178	108	497
179	109	496
180	109	496
181	110	495
182	110	494
183	111	494
184	111	493
185	112	493
186	113	492
187	113	492
188	114	491
189	115	490
190	115	490
191	116	489
192	116	488
193	117	487
194	117	486
195	118	485
196	118	484
197	119	483
198	119	482
199	120	481
200	120	480
201	121	479
202	121	478
203	122	477
204	122	476
205	123	475
206	123	473
207	124	472
208	124	471
209	125	473
210	126	472
211	127	472
212	127	471
213	128	471
214	128	470
215	129	470
216	130	469
217	130	467
218	130	467
219	131	466
220	132	466
221	132	465
222	133	464
223	133	463
224	134	462
225	134	461
226	135	460
227	135	459
228	136	458
229	136	458
230	137	457
231	137	456
232	138	455
233	138	454
234	139	453
235	140	453
236	140	452
237	141	452
238	141	451
239	142	451
240	143	452
241	144	453
242	145	452
243	145	451
244	146	450
245	146	450
246	147	449
247	147	448
248	148	448
249	149	447
250	149	446
251	150	445
252	150	444
253	151	444
254	151	443
255	152	442
256	152	441
257	153	440
258	153	439
259	154	438
260	154	438
261	155	437
262	155	436
263	156	435
264	156	434
265	157	433
266	157	432
267	158	433
268	159	432
269	159	431
270	160	431
271	160	430
272	161	429
273	161	429
274	162	428
275	162	427
276	163	426
277	163	425
278	164	424
279	164	424
280	165	423
281	165	422
282	166	421
283	166	420
284	167	419
